objectid,parentid,filename,object_location,image_thumb,image_small,title,author,publisher,date,format,type,source,identifier,language,rights,rightsstatement
book0001,,herzog_0007.jpg,/objects/herzog_0007.jpg,/objects/herzog_0001.jpg,/objects/herzog_0001.jpg,Space art : Starlog photo guidebook,"Miller, Ron, comp. 1947-",Starlog magazine,1978,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991013434699704436,N8234 .O8 M54 1978,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0001-front-0007,book0001,herzog_0007.jpg,/objects/herzog_0007.jpg,/objects/herzog_0001.jpg,/objects/herzog_0001.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0001-back-0008,book0001,herzog_0008.jpg,/objects/herzog_0008.jpg,/objects/herzog_0002.jpg,/objects/herzog_0002.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0002,,herzog_0009.jpg,/objects/herzog_0009.jpg,/objects/herzog_0003.jpg,/objects/herzog_0003.jpg,"One hundred years of science fiction illustration, 1840-1940","Frewin, Anthony, 1947- compiler.",Pyramid Books,1975,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991020019545604436,NC961.7 .S34 F73 1975,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0002-front-0009,book0002,herzog_0009.jpg,/objects/herzog_0009.jpg,/objects/herzog_0003.jpg,/objects/herzog_0003.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0002-back-0010,book0002,herzog_0010.jpg,/objects/herzog_0010.jpg,/objects/herzog_0004.jpg,/objects/herzog_0004.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0003,,herzog_0001.jpg,/objects/herzog_0001.jpg,/objects/herzog_0005.jpg,/objects/herzog_0005.jpg,The Immortals,"Gunn, James E., 1923-2020.",Bantam Books,1962,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/1feg4j8/alma991011651149704436,PS3513 .U797 I46 1962,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0003-front-0001,book0003,herzog_0001.jpg,/objects/herzog_0001.jpg,/objects/herzog_0005.jpg,/objects/herzog_0005.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0003-back-0002,book0003,herzog_0002.jpg,/objects/herzog_0002.jpg,/objects/herzog_0006.jpg,/objects/herzog_0006.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0004,,herzog_0013.jpg,/objects/herzog_0013.jpg,/objects/herzog_0007.jpg,/objects/herzog_0007.jpg,Voyage to the city of the dead,"Foster, Alan Dean, 1946-",Ballantine,1984,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991011650439704436,PS3556 .O756 V69 1984,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0004-front-0013,book0004,herzog_0013.jpg,/objects/herzog_0013.jpg,/objects/herzog_0007.jpg,/objects/herzog_0007.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0004-back-0014,book0004,herzog_0014.jpg,/objects/herzog_0014.jpg,/objects/herzog_0008.jpg,/objects/herzog_0008.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0005,,herzog_0019.jpg,/objects/herzog_0019.jpg,/objects/herzog_0009.jpg,/objects/herzog_0009.jpg,Message from Sirius,"Jenkins, Cecil. 4n",Bantam Books,1963,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991011899479704436,PS3560 .E457 M47 1963,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0005-front-0019,book0005,herzog_0019.jpg,/objects/herzog_0019.jpg,/objects/herzog_0009.jpg,/objects/herzog_0009.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0005-back-0020,book0005,herzog_0020.jpg,/objects/herzog_0020.jpg,/objects/herzog_0010.jpg,/objects/herzog_0010.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0006,,herzog_0005.jpg,/objects/herzog_0005.jpg,/objects/herzog_0011.jpg,/objects/herzog_0011.jpg,The dream master,"Zelazny, Roger.",Panther Books,1968,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991011228249704436,PS3576 .E43 D7 1968,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0006-front-0005,book0006,herzog_0005.jpg,/objects/herzog_0005.jpg,/objects/herzog_0011.jpg,/objects/herzog_0011.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0006-back-0006,book0006,herzog_0006.jpg,/objects/herzog_0006.jpg,/objects/herzog_0012.jpg,/objects/herzog_0012.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0007,,herzog_0003.jpg,/objects/herzog_0003.jpg,/objects/herzog_0013.jpg,/objects/herzog_0013.jpg,My name is legion,"Zelazny, Roger.",Ballantine Books,1976,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/6lpsnm/alma991011228179704436,PS3576 .E43 M9,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0007-front-0003,book0007,herzog_0003.jpg,/objects/herzog_0003.jpg,/objects/herzog_0013.jpg,/objects/herzog_0013.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0007-back-0004,book0007,herzog_0004.jpg,/objects/herzog_0004.jpg,/objects/herzog_0014.jpg,/objects/herzog_0014.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0008,,herzog_0015.jpg,/objects/herzog_0015.jpg,/objects/herzog_0015.jpg,/objects/herzog_0015.jpg,Metropolis,"Harbou, Thea von, 1888-",Ace Books,1963,multiple,record,https://cmu.primo.exlibrisgroup.com/permalink/01CMU_INST/1feg4j8/alma991013063099704436,PT2615 .A62 M41 1963,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0008-front-0015,book0008,herzog_0015.jpg,/objects/herzog_0015.jpg,/objects/herzog_0015.jpg,/objects/herzog_0015.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0008-back-0016,book0008,herzog_0016.jpg,/objects/herzog_0016.jpg,/objects/herzog_0016.jpg,/objects/herzog_0016.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0009,,herzog_0011.jpg,/objects/herzog_0011.jpg,/objects/herzog_0017.jpg,/objects/herzog_0017.jpg,The Mile-Long Spaceship,unknown,unknown,unknown,multiple,record,n/a,n/a,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0009-front-0011,book0009,herzog_0011.jpg,/objects/herzog_0011.jpg,/objects/herzog_0017.jpg,/objects/herzog_0017.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0009-back-0012,book0009,herzog_0012.jpg,/objects/herzog_0012.jpg,/objects/herzog_0018.jpg,/objects/herzog_0018.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,
book0010,,herzog_0017.jpg,/objects/herzog_0017.jpg,/objects/herzog_0019.jpg,/objects/herzog_0019.jpg,Space Fiction of the '30s,unknown,unknown,unknown,multiple,record,n/a,n/a,eng,"Digital scan by the Carnegie Mellon University Libraries Digitization Lab. This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for educational uses. For other uses, you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-EDU/1.0/?language=en
book0010-front-0017,book0010,herzog_0017.jpg,/objects/herzog_0017.jpg,/objects/herzog_0019.jpg,/objects/herzog_0019.jpg,front cover,,,,image/jpeg,Image;StillImage,,,,,
book0010-back-0018,book0010,herzog_0018.jpg,/objects/herzog_0018.jpg,/objects/herzog_0020.jpg,/objects/herzog_0020.jpg,back cover,,,,image/jpeg,Image;StillImage,,,,,